0.24668,-0.0091333,-0.068193,0.048739,0.086569,-0.098604,0.10378,0.31535
0.34453,0.32623,0.21973,-0.076891,0.088335,-0.15822,0.0099247,0.10965
0.30056,0.33433,0.21892,0.032359,0.16621,-0.076004,0.17139,-0.036951
0.20028,0.26788,0.21472,0.16461,-0.085849,-0.13639,-0.16544,0.022827
0.034536,0.082035,-0.051074,0.16814,0.0066734,-0.1325,-0.06311,0.12063
0.45397,0.33594,-0.014463,0.48565,0.021314,-0.14654,0.098121,0.12867
0.19238,-0.052442,-0.20228,0.052158,0.050867,-0.090505,0.028605,-0.027652
-0.01971,0.16105,-0.023753,0.10139,0.094762,0.03809,0.18633,0.34738
-0.032597,0.20948,0.20184,0.23207,-0.11419,-0.019824,0.37819,0.17543
0.20535,-0.064299,0.087123,0.17363,0.10549,-0.048143,0.34941,0.10562
0.053882,0.42283,0.23197,0.42495,0.1962,-0.15337,0.30881,0.28321
-0.15696,0.3206,-0.052274,0.015222,-0.012998,0.09242,0.10652,0.38982
