"","x"
"1",0.000459689573755928
"2",0.146117103863598
"3",0.00355098649037816
"4",0.054588731281287
"5",0.18007813195748
"6",0.0581090264221725
"7",0.00676946502364707
"8",0.901347983967869
"9",0.0070340771109579
"10",0.0113309228885927
"11",0.137777906574444
"12",0.0419789889806811
"13",0.00123116141832348
"14",0.601036666039627
"15",0.00370488714905594
"16",0.489665936844459
"17",0.386293458274602
"18",0.201245547598552
"19",0.131865798830915
"20",0.443422842737
"21",0.0510777280587166
"22",0.399269574369624
"23",0.890140663226478
"24",0.692503851374767
"25",0.992690341295662
"26",0.325835712447181
"27",0.228323208457626
"28",0.159822892792347
"29",0.0400466135998265
"30",0.143353677549655
"31",0.921790691530204
"32",0.295710986713601
"33",0.115247619292856
"34",0.210002224222508
"35",0.0423179669488205
"36",0.0732712015577393
"37",0.105527602018564
"38",0.134699560378574
"39",0.0181121692108805
"40",0.0202963704827838
"41",0.00763184948459266
"42",0.000148810116778758
"43",0.322705250323968
"44",0.0307418806400451
"45",0.0205960847030787
"46",0.682927520939201
"47",0.972079728548351
"48",0.319283133353259
"49",0.306774568666651
"50",1.73433796313385e-05
"51",9.26349248824428e-05
"52",0.00302631265098546
"53",0.220787224036516
"54",0.036952232353728
"55",0.962791120042257
"56",0.46857567231975
"57",2.80297440235215e-06
"58",0.903001010032027
