"","x"
"1",1.14828827257596e-08
"2",0.0298913171643108
"3",7.40562857169856e-07
"4",0.000241254516972704
"5",0.0274800532015794
"6",0.562677396058118
"7",4.08422660107109e-06
"8",0.000834410615062843
"9",0.00813037292911396
"10",4.38816045719857e-05
"11",0.0248846369567162
"12",0.404138039857452
"13",1.42666683058441e-07
"14",4.98524440973215e-05
"15",0.00209851584994818
"16",0.0947753898997219
"17",0.173124284202394
"18",0.932548088215095
"19",0.00705752370804804
"20",0.103634711249497
"21",0.146927956722323
"22",0.234077153736837
"23",0.761899141433764
"24",0.969743225257537
"25",0.495476504410796
"26",0.0244053942711803
"27",0.0518369471542297
"28",0.0412156368595241
"29",0.0189786263913819
"30",0.13041865428742
"31",0.423045162488532
"32",0.75603327432052
"33",0.19879755187248
"34",0.152370622015091
"35",0.182648938461571
"36",0.00816771656529406
"37",0.0669027744516043
"38",0.0100269808500612
"39",0.0169474837325439
"40",0.000798647673606163
"41",0.002378785557687
"42",0.000421729441139937
"43",0.525754404979988
"44",0.0110472195577226
"45",0.00108253778703982
"46",0.805301588095711
"47",0.718487476614621
"48",0.849757816463595
"49",0.588471057090007
"50",1.52534329265643e-11
"51",3.59716118283778e-10
"52",4.22329289887664e-07
"53",0.0738985276042528
"54",1.54002077388504e-06
"55",0.171697867400517
"56",0.148126757286203
"57",5.52735293644957e-08
"58",0.767214822728035
