"","x"
"1",0.00124345457481149
"2",0.260001673918949
"3",0.00875950284225911
"4",0.0883298306155421
"5",0.0960888348961087
"6",0.371909871416
"7",0.00507895276699608
"8",0.493570647838495
"9",0.0256442055735505
"10",0.0339280767941275
"11",0.0768200334005486
"12",0.250956598619149
"13",0.000769075551093077
"14",0.33435225954947
"15",0.00826317244870728
"16",0.531947538606361
"17",0.253006118374496
"18",0.71750274093793
"19",0.0964758490914709
"20",0.81723834731355
"21",0.156198714354995
"22",0.525756357138506
"23",0.590106653393368
"24",0.707285737044749
"25",0.513812738040798
"26",0.169634492666725
"27",0.021441933965799
"28",0.148441111501707
"29",0.139064042348513
"30",0.247250480094093
"31",0.401997949951761
"32",0.700668269152535
"33",0.139844061706343
"34",0.0551145286522112
"35",0.0476816023262462
"36",0.0191341058694194
"37",0.0430404289893374
"38",0.0270623096445974
"39",0.00172146005871082
"40",0.00676596970261629
"41",0.0116224785447605
"42",0.000280649375883246
"43",0.123967188001625
"44",0.02445107427285
"45",0.00317278919347642
"46",7.52880315840748e-07
"47",6.31790021995197e-06
"48",0.00241967553082152
"49",0.347247377984229
"50",0.0317278147436108
"51",0.815365627209096
