"","x"
"1",0.0417856780817314
"2",0.984036652477015
"3",0.187873512920673
"4",0.187873512920673
"5",0.984036652477015
"6",0.261426290692897
"7",0.148052064939917
"8",0.967141293569528
"9",0.187873512920673
"10",0.072757483721783
"11",0.984036652477015
"12",0.13505774240862
"13",0.0417856780817314
"14",0.83433816378208
"15",0.0882679908015884
"16",0.975975414011189
"17",0.984036652477015
"18",0.975975414011189
"19",0.984036652477015
"20",0.984036652477015
"21",0.984036652477015
"22",0.984036652477015
"23",0.498628891645534
"24",0.432950321488882
"25",0.0417856780817314
"26",0.525159579885325
"27",0.984036652477015
"28",0.47360811749932
"29",0.0882679908015884
"30",0.689177375179215
"31",0.984036652477015
"32",0.930433212427343
"33",0.446278600477378
"34",0.930433212427343
"35",0.689177375179215
"36",0.984036652477015
"37",0.261426290692897
"38",0.482951716018462
"39",0.829802745923463
"40",0.689177375179215
"41",0.670434134658784
"42",0.984036652477015
"43",0.313280390530411
"44",0.5465932169604
"45",0.132596386882926
"46",0.862913129431769
"47",0.55922589972565
"48",0.465124004982265
"49",0.47360811749932
"50",0.967141293569528
"51",0.0903145344123186
"52",0.55922589972565
"53",0.967141293569528
"54",0.072757483721783
"55",0.465124004982265
"56",0.613097722536557
"57",0.984036652477015
"58",0.846184523726331
