"","x"
"1",0.978882206865922
"2",0.183080161981957
"3",0.561060743631336
"4",0.466881402105454
"5",0.565542592815299
"6",0.556425496403212
"7",0.927588047537631
"8",0.171203873079693
"9",0.257095322768962
"10",0.720309809552832
"11",0.943095380265699
"12",0.699143127418517
"13",0.811598763237791
"14",0.997506441480676
"15",0.800397921435703
"16",0.137565842336393
"17",0.333705807901159
"18",0.678833921720406
"19",0.644866678692626
"20",0.0351986096478906
"21",0.140046425842606
"22",0.785962253602529
"23",0.11170510427136
"24",0.504848594084496
"25",0.743910137790971
"26",0.656185703389081
"27",0.00876879229269198
"28",0.430921886813912
"29",0.625328264091523
"30",0.416361950968067
"31",0.00229682373492461
"32",0.394463089642447
"33",0.152333261272212
"34",0.316460299100148
"35",0.681925929615002
"36",0.719624889263722
"37",0.54539759089173
"38",0.676213412837326
"39",0.0411513956822423
"40",0.808249059600486
"41",0.439569286436873
"42",0.608805303740148
"43",0.501021633094843
"44",0.837494261369398
"45",0.270586567384089
"46",0.597814701867148
"47",0.659061980316613
"48",0.468921189377003
"49",0.771479235080604
"50",0.661771415563808
"51",0.506321281684112
