"","x"
"1",0.820584832047477
"2",0.0117677033982958
"3",0.0569385676444774
"4",0.543674561472372
"5",0.124457562101419
"6",0.838442396321303
"7",0.00820876360018092
"8",0.337384663929197
"9",0.164384334609567
"10",0.791446841745688
"11",0.405185628330293
"12",0.911156686637353
"13",0.606702027199228
"14",0.854771997333415
"15",0.537541774370197
"16",0.172289723022428
"17",0.12370903745944
"18",0.659137136531619
"19",0.00264630797447197
"20",0.0569385676444774
"21",0.345160721969747
"22",0.838442396321303
"23",0.368317938519326
"24",0.495557359578537
"25",0.967291873836486
"26",0.939116167456633
"27",0.0569385676444774
"28",0.368317938519326
"29",0.896548692182502
"30",0.967291873836486
"31",0.543674561472372
"32",0.0569385676444774
"33",0.495557359578537
"34",0.657991400577469
"35",0.657991400577469
"36",0.124457562101419
"37",0.151563214653146
"38",0.838442396321303
"39",0.0569385676444774
"40",0.0569385676444774
"41",0.258881378186867
"42",0.83051836144303
"43",0.896548692182502
"44",0.495557359578537
"45",0.383885175021227
"46",0.0506715441345876
"47",0.58271211504166
"48",0.854771997333415
"49",0.00820876360018092
"50",0.543674561472372
"51",0.495557359578537
