"","x"
"1",0.166956264219802
"2",0.845278449497582
"3",0.268641441989916
"4",0.166956264219802
"5",0.486881167443682
"6",0.167942735729676
"7",0.559272602281457
"8",0.956617637422709
"9",0.559272602281457
"10",0.0860750921531449
"11",0.559272602281457
"12",0.0860750921531449
"13",0.486881167443682
"14",0.764646707497704
"15",0.418430820083273
"16",0.559272602281457
"17",0.572044338611155
"18",0.764646707497704
"19",0.929628007942465
"20",0.764646707497704
"21",0.818055917184615
"22",0.899212421774303
"23",0.559272602281457
"24",0.243455854551956
"25",0.0271271576269555
"26",0.572044338611155
"27",0.559272602281457
"28",0.448774234894606
"29",0.0860750921531449
"30",0.559272602281457
"31",0.919824572192073
"32",0.559272602281457
"33",0.448774234894606
"34",0.768766036748781
"35",0.572044338611155
"36",0.913126049073119
"37",0.182136699507293
"38",0.559272602281457
"39",0.486881167443682
"40",0.559272602281457
"41",0.583684793756473
"42",0.764646707497704
"43",0.448774234894606
"44",0.36882289365007
"45",0.268581602148699
"46",0.764646707497704
"47",0.626250735752989
"48",0.243455854551956
"49",0.36882289365007
"50",0.559272602281457
"51",0.149455303505642
"52",0.559272602281457
"53",0.559272602281457
"54",0.146766681178969
"55",0.379496188917094
"56",0.268581602148699
"57",0.919824572192073
"58",0.559272602281457
