"","x"
"1","0.888863261051123"
"2","0.176664023908017"
"3","0.785491401529693"
"4","0.32390085026237"
"5","2.96071893010739e-05"
"6","Min.   :0.0000013  "
"7","1st Qu.:0.0154856  "
"8","Median :0.3921628  "
"9","Mean   :0.4226741  "
