"","x"
"1",0.164236530051963
"2",0.0969786010362282
"3",0.0523246573870237
"4",0.0523246573870237
"5",0.60114543193716
"6",0.72524738004965
"7",0.0164188744605129
"8",0.268210426922232
"9",0.306479893731887
"10",0.541102527725761
"11",0.448975188184791
"12",0.454783044712811
"13",0.106694337761365
"14",0.935779185248663
"15",0.0969786010362282
"16",0.0889615703490651
"17",0.90750268760232
"18",0.953486087231042
"19",0.0889615703490651
"20",0.0523246573870237
"21",0.953486087231042
"22",0.903020443151024
"23",0.72524738004965
"24",0.643088250676259
"25",0.901244713329263
"26",0.958947004116952
"27",0.0969786010362282
"28",0.903020443151024
"29",0.72524738004965
"30",0.903020443151024
"31",0.892504900599399
"32",0.520452609288843
"33",0.958947004116952
"34",0.903020443151024
"35",0.703197554427325
"36",0.901244713329263
"37",0.306479893731887
"38",0.90750268760232
"39",0.123445124341279
"40",0.998947610337591
"41",0.298676196470594
"42",0.800708329612718
"43",0.789814439478549
"44",0.306479893731887
"45",0.958947004116952
"46",0.895616553735543
"47",0.643088250676259
"48",0.306479893731887
"49",0.90750268760232
"50",0.268210426922232
"51",0.151166684993494
"52",0.901244713329263
"53",0.0889615703490651
"54",0.522609277248566
"55",0.151166684993494
"56",0.903020443151024
"57",0.616996932332585
"58",0.57276917373836
