"","x"
"1",0.291200706919935
"2",0.665216265267166
"3",0.342363296975981
"4",0.918123387835322
"5",0.134430247963093
"6",0.430476112297644
"7",0.126120361672265
"8",0.391228406332965
"9",0.417412338571223
"10",0.586844072110376
"11",0.070571547793275
"12",0.274419465911953
"13",0.18561679141471
"14",0.551541264455315
"15",0.494103657177013
"16",0.543211341900889
"17",0.646826322010854
"18",0.690511057996929
"19",0.266638078147549
"20",0.321666513842488
"21",0.989643621346864
"22",0.738899229539681
"23",0.306441028015663
"24",0.0496051400106245
"25",0.0947163909154489
"26",0.310769697178357
"27",0.622729001300298
"28",0.973440966090852
"29",0.112047983843403
"30",0.876922716071829
"31",0.25488659741687
"32",0.955837596613533
"33",0.569766500339472
"34",0.466319955537796
"35",0.417678049333357
"36",0.787563508459642
"37",0.566063511317928
"38",0.228577325977628
"39",0.341577433818352
"40",0.865033444894103
"41",0.173752098293738
"42",0.281208437484508
"43",0.603698192277909
"44",0.330626641481698
"45",0.159113022597416
"46",0.7146433023949
"47",0.120280780908183
"48",0.153012489920629
"49",0.660877119974709
"50",0.588425700901728
"51",0.0414087717003941
"52",0.982673992179332
"53",0.637358965825314
"54",0.0290375507394906
"55",0.143541876437086
"56",0.11678259573465
"57",0.161321182553318
"58",0.632074222686109
