"","x"
"1",0.737278906505088
"2",0.0511262661657688
"3",0.0337282964520833
"4",0.0398006890449764
"5",0.00435595427877854
"6",0.10844526383231
"7",0.53527372477184
"8",0.526570591638135
"9",0.172745943359679
"10",0.419136198064736
"11",0.35853646795292
"12",0.669239446274182
"13",0.853456402665139
"14",0.63815042270095
"15",0.53653637250966
"16",0.0433373532333072
"17",0.00806992406186657
"18",0.131899288611764
"19",0.501419544939597
"20",0.630397998580689
"21",0.258181044596941
"22",0.144342811018715
"23",0.53533371601106
"24",0.82218725536783
"25",0.0309141302427726
"26",0.731053196926107
"27",0.273252384307396
"28",0.78193346333872
"29",0.0496010497914051
"30",0.0084626880372135
"31",0.382545717757215
"32",0.439033995635141
"33",0.100329977371897
"34",0.00628023632119185
"35",0.980883685698352
"36",0.899951800103569
"37",0.245845650778704
"38",0.061787436026811
"39",0.501206264544663
"40",0.866021107541404
"41",0.4579318290922
"42",0.249644664084326
"43",0.712476057307787
"44",0.239323330002909
"45",0.00211502933682165
"46",0.534082665083716
"47",0.69284785961645
"48",0.766599213432698
"49",0.60659467623157
"50",0.280165032129752
"51",0.00333370988979136
"52",0.482439854976462
"53",0.180014186621647
"54",0.00240412404438496
"55",0.46421006367119
"56",0.110537139985662
"57",0.0441536633386251
"58",0.304752256786746
