"","x"
"1",0.544968810761217
"2",0.609704119162071
"3",0.942329380224279
"4",0.942329380224279
"5",0.813467332494491
"6",0.942329380224279
"7",0.839537745125477
"8",0.942329380224279
"9",0.90559574781982
"10",0.442882831702175
"11",0.5718405557491
"12",0.442882831702175
"13",0.667396129415161
"14",0.942329380224279
"15",0.667396129415161
"16",0.547679918107152
"17",0.942329380224279
"18",0.498644673895495
"19",0.544968810761217
"20",0.944188581984103
"21",0.442882831702175
"22",0.942329380224279
"23",0.820498628575224
"24",0.442882831702175
"25",0.444597412374018
"26",0.442882831702175
"27",0.442882831702175
"28",0.442882831702175
"29",0.609704119162071
"30",0.942329380224279
"31",0.942329380224279
"32",0.498644673895495
"33",0.814229678815023
"34",0.609704119162071
"35",0.442882831702175
"36",0.547679918107152
"37",0.90559574781982
"38",0.442882831702175
"39",0.942329380224279
"40",0.442882831702175
"41",0.861886999202752
"42",0.667396129415161
"43",0.498644673895495
"44",0.177206064448536
"45",0.544674162021572
"46",0.942329380224279
"47",0.942329380224279
"48",0.23855357922958
"49",0.442882831702175
"50",0.456712555839592
"51",0.442882831702175
"52",0.609704119162071
"53",0.547679918107152
"54",0.547679918107152
"55",0.442882831702175
"56",0.90559574781982
"57",0.90559574781982
"58",0.442882831702175
