"","x"
"1",0.889823526078407
"2",0.715830176302749
"3",0.680868917651037
"4",0.680868917651037
"5",0.920752816461492
"6",0.680868917651037
"7",0.680868917651037
"8",0.920752816461492
"9",0.680868917651037
"10",0.680868917651037
"11",0.715830176302749
"12",0.680868917651037
"13",0.920752816461492
"14",0.998946410106569
"15",0.920752816461492
"16",0.715830176302749
"17",0.822449845052308
"18",0.889823526078407
"19",0.680868917651037
"20",0.920752816461492
"21",0.680868917651037
"22",0.680868917651037
"23",0.680868917651037
"24",0.896165807484034
"25",0.972753426772434
"26",0.715830176302749
"27",0.680868917651037
"28",0.889823526078407
"29",0.920752816461492
"30",0.920752816461492
"31",0.715830176302749
"32",0.889823526078407
"33",0.680868917651037
"34",0.680868917651037
"35",0.680868917651037
"36",0.920752816461492
"37",0.920752816461492
"38",0.680868917651037
"39",0.920752816461492
"40",0.889823526078407
"41",0.998946410106569
"42",0.920752816461492
"43",0.715830176302749
"44",0.920752816461492
"45",0.715830176302749
"46",0.680868917651037
"47",0.715830176302749
"48",0.920752816461492
"49",0.70560163828254
"50",0.920752816461492
"51",0.889823526078407
"52",0.889823526078407
"53",0.920752816461492
"54",0.920752816461492
"55",0.712784972052442
"56",0.822449845052308
"57",0.920752816461492
"58",0.836262377322032
