"","x"
"1",0.000355153131744494
"2",0.171430571978111
"3",0.00285048164758608
"4",0.0365504814944626
"5",0.0857089665631013
"6",0.390491224675844
"7",0.00172836339672343
"8",0.242790056393904
"9",0.021978659878087
"10",0.0113378616597709
"11",0.0752212565219865
"12",0.238760109001815
"13",0.00024990153293974
"14",0.167640736973137
"15",0.00737708006749699
"16",0.373866124828384
"17",0.227710511442671
"18",0.796923626556564
"19",0.0530215914223641
"20",0.517634930764876
"21",0.152407681273831
"22",0.33038446986292
"23",0.514898111379149
"24",0.702238000748092
"25",0.542821871045463
"26",0.183601344358352
"27",0.0183860054282857
"28",0.140818974737006
"29",0.103023301389319
"30",0.166799200023704
"31",0.361405885852282
"32",0.798991917041899
"33",0.0932756608629213
"34",0.0570933063551792
"35",0.0434940941551986
"36",0.010440849529287
"37",0.0321496322635214
"38",0.0279005305849696
"39",0.00141299051171126
"40",0.00423828933663948
"41",0.00648411875157826
"42",0.000122447432374521
"43",0.122770798871595
"44",0.0217519601970552
"45",0.00272294416230393
"46",0.866790059005422
"47",0.882020315815158
"48",0.63477031470489
"49",0.440713764563353
"50",1.31861046422294e-07
"51",7.71360492258136e-07
"52",0.00121039727711248
"53",0.273926468822982
"54",0.00927476850358227
"55",0.590643403710073
"56",0.598641363907647
"57",1.46748489110141e-08
"58",0.91415785362913
