"","x"
"1",0.011038187813469
"2",0.882644056705964
"3",0.0843557205872905
"4",0.254210021528093
"5",0.516754878398276
"6",0.805824333267604
"7",0.0318634936527967
"8",0.352170751811059
"9",0.258397970179283
"10",0.0843557205872905
"11",0.427145501288036
"12",0.463690747880794
"13",0.00241936722241407
"14",0.516754878398276
"15",0.0407977833128805
"16",0.844966381130208
"17",0.848300490534627
"18",0.799153221258013
"19",0.805824333267604
"20",0.651339203302553
"21",0.844966381130208
"22",0.0555114593797692
"23",0.323030718238944
"24",0.258397970179283
"25",0.0843557205872905
"26",0.905452407385037
"27",0.844966381130208
"28",0.818492562492888
"29",0.0555114593797692
"30",0.0255517221325724
"31",0.55161323722742
"32",0.799153221258013
"33",0.516754878398276
"34",0.258397970179283
"35",0.844966381130208
"36",0.532960262285172
"37",0.601419686346413
"38",0.601419686346413
"39",0.818492562492888
"40",0.516754878398276
"41",0.512257672322769
"42",0.956782789571289
"43",0.434400181490315
"44",0.516377313718915
"45",0.905452407385037
"46",0.844966381130208
"47",0.844966381130208
"48",0.758629710548272
"49",0.648325770379757
"50",0.647307134591976
"51",0.516754878398276
"52",0.323030718238944
"53",0.818492562492888
"54",0.140658916475445
"55",0.949542999559971
"56",0.818492562492888
"57",0.956782789571289
"58",0.799153221258013
