"","x"
"1","0.0648300418979619"
"2","0.0221814558840798"
"3","0.757835851273694"
"4","0.069476234997392"
"5","0.194046312850155"
"6","Min.   :0.06574  "
"7","1st Qu.:0.20631  "
"8","Median :0.57082  "
"9","Mean   :0.54096  "
