"","x"
"1","0.428744779972618"
"2","0.0199926793452877"
"3","0.178566373894413"
"4","0.107269640228976"
"5","0.194586650947399"
"6","Min.   :0.09144  "
"7","1st Qu.:0.22096  "
"8","Median :0.34757  "
"9","Mean   :0.35689  "
