"1402","100100","52","2017-02-09","23:38:00"
"1412","100100","12","2017-02-09","23:52:00"
"1422","100100","62","2017-02-09","00:01:00"
"1432","100100","12","2017-02-09","00:09:00"
"1442","100100","92","2017-02-09","00:14:00"
"1452","100100","92","2017-02-09","01:11:00"
"1462","100100","82","2017-02-09","01:15:00"
"1472","100100","82","2017-02-09","12:35:00"
"1482","100100","2","2017-02-09","12:43:00"
"1492","100100","122","2017-02-09","12:56:00"
"1502","100100","92","2017-02-09","13:02:00"
"1512","100100","82","2017-02-09","13:07:00"
"1522","100100","72","2017-02-09","13:13:00"
"1532","100100","62","2017-02-09","13:25:00"
"1542","100100","132","2017-02-09","13:32:00"
"1552","100100","22","2017-02-12","21:46:00"
"1562","100100","32","2017-02-12","21:53:00"
"1572","100100","132","2017-02-12","22:24:00"
"1582","100100","122","2017-02-12","22:59:00"
"1592","100100","82","2017-02-12","23:03:00"
"1602","100100","32","2017-02-12","23:10:00"
"1612","100100","82","2017-02-12","23:14:00"
"1622","100100","132","2017-02-12","23:24:00"
"1632","100100","92","2017-02-12","23:28:00"
"1642","100100","42","2017-02-12","23:50:00"
"1652","100100","22","2017-02-12","00:11:00"
"1662","100100","122","2017-02-12","00:22:00"
"1672","100100","122","2017-02-12","00:27:00"
"1682","100100","132","2017-02-12","00:32:00"
"1692","100100","102","2017-02-12","00:36:00"
"1702","100100","32","2017-02-12","00:40:00"
"1712","100100","62","2017-02-17","17:07:00"
"1722","100100","12","2017-03-02","12:45:00"
"1732","100100","2","2017-03-02","12:50:00"
"1742","100100","42","2017-03-02","12:56:00"
"1752","100100","132","2017-03-16","13:31:00"
"1762","100100","22","2017-03-16","13:38:00"
"1772","100100","42","2017-03-16","13:50:00"
"1782","100100","132","2017-03-16","13:56:00"
"1792","100100","22","2017-03-16","14:18:00"
"1802","100100","42","2017-03-16","14:24:00"
"1812","100100","52","2017-03-16","14:35:00"
"1822","100100","132","2017-03-16","14:42:00"
"1832","100100","122","2017-03-16","14:52:00"
"1842","100100","22","2017-03-17","20:35:00"
"1852","100100","12","2017-03-20","11:34:00"
"1853","100100","62","2017-05-23","17:10:00"
"1854","100100","62","2017-05-23","17:10:00"
"1855","100100","42","2017-05-29","12:11:00"
"1856","100100","42","2017-05-29","12:11:00"
"1857","100100","62","2017-05-29","12:14:00"
"1858","100100","2","2017-06-08","17:53:00"
"1859","100100","52","2017-06-08","17:58:00"
"1860","100100","22","2017-06-08","18:09:00"
"1861","100100","12","2017-06-08","18:15:00"
"1862","100100","32","2017-06-08","18:21:00"
"1863","100100","42","2017-06-08","18:27:00"
"1864","100100","62","2017-06-08","18:32:00"
"1865","100101","92","2017-06-08","18:37:00"
"1866","100101","102","2017-06-08","18:42:00"
"1867","100101","102","2017-06-08","18:42:00"
"1868","100101","72","2017-06-08","18:47:00"
"1869","100101","122","2017-06-08","18:50:00"
"1870","100101","112","2017-06-08","18:54:00"
"1871","100101","82","2017-06-08","18:57:00"
"1872","100101","132","2017-06-08","19:03:00"
"1873","100","32","2017-06-20","16:50:00"
"1874","100","22","2017-06-20","16:56:00"
"1875","100","22","2017-06-20","16:56:00"
"1876","100100","12","2017-06-23","20:41:00"
"1877","100100","12","2017-06-23","20:41:00"
"1878","101","2","2017-06-29","20:40:00"
"1879","101","52","2017-06-29","20:46:00"
"1880","101","122","2017-06-29","20:50:00"
"1881","101","92","2017-06-29","20:54:00"
