1,28.5714
1,37.931
1,23.8095
1,51.7241
1,33.333
1,51.7241
1,23.8095
1,48.2759
1,48.2759
1,14.2857
1,48.2759
1,38.0952
1,44.8276
1,19.0476
1,14.2857
1,19.0476
1,51.7241
1,52.381
1,23.8095
1,37.931
2,60
2,80
2,50
2,70
2,60
2,90
2,70
2,60
2,80
2,40
2,70
2,50
2,50
2,70
2,90
2,80
2,70
2,50
2,90
2,90
3,50
3,100
3,40
3,90
3,50
3,80
3,60
3,90
3,90
3,50
3,60
3,60
3,80
3,70
3,100
3,70
3,60
3,80
3,70
3,60
4,80
4,100
4,70
4,80
4,80
4,80
4,60
4,80
4,90
4,50
4,60
4,30
4,70
4,60
4,100
4,80
4,70
4,40
4,60
4,60
5,90
5,100
5,90
5,90
5,80
5,60
5,70
5,70
5,90
5,
5,70
5,40
5,80
5,100
5,90
5,90
5,70
5,70
5,60
5,90
6,66.667
6,100
6,66.667
6,82.7586
6,85.7143
6,79.3103
6,80.9524
6,86.29
6,100
6,90.7462
6,75.8621
6,80.9524
6,79.3103
6,76.1905
6,95.2381
6,80.9524
6,65.5172
6,76.1905
6,85.7143
6,82.7586
